athlete_id,name,sport,era,grand_slams,masters_titles,career_wins,career_matches,weeks_at_no1,yearend_no1_count,years_in_top5,finals_won,finals_played,h2h_top10_wins,h2h_top10_total,hard_win_pct,clay_win_pct,grass_win_pct,clay_win_rate_std,grass_win_rate_std,career_win_rate,finals_win_rate,h2h_top10,surface_versatility,grand_slam_normalized,weeks_no1_normalized,masters_titles_normalized,career_win_rate_normalized,yearend_no1_normalized,finals_win_rate_normalized,h2h_top10_normalized,surface_versatility_normalized,longevity_normalized,composite_score
atp_101990,Richard Krajicek,tennis,Modern Era,1.5555555555555554,2,414,635,0.0,0,3,17,26,46,101,0.6667,0.5985,0.7079,0.1093,0.13,0.6519685039370079,0.6538461538461539,0.45544554455445546,85.65496166129012,6.06060606060606,0.0,5.0,66.84890944786372,0.0,65.38461538461539,64.21782178217822,86.46319979934515,15.0,22.66
atp_102021,Michael Chang,tennis,Modern Era,1.5555555555555554,7,664,978,0.0,0,8,35,59,51,145,0.7045,0.6446,0.5455,0.2242,0.2491,0.6789366053169734,0.5932203389830508,0.35172413793103446,79.1516148762546,6.06060606060606,0.0,17.5,71.81047571202265,0.0,59.32203389830508,49.59310344827586,79.89848759198362,40.0,24.35
atp_102024,Hernan Gumy,tennis,Modern Era,0.0,0,115,245,0.0,0,0,1,2,3,17,0.3939,0.5115,0.0,0.1038,0.0,0.46938775510204084,0.5,0.17647058823529413,30.44621454975346,0.0,0.0,0.0,33.25787272113938,0.0,50.0,24.88235294117647,30.733504290840784,0.0,9.91
atp_102025,Mikael Tillstrom,tennis,Modern Era,0.0,0,113,226,0.0,0,0,1,5,6,27,0.5417,0.4697,0.2727,0.263,0.2739,0.5,0.2,0.2222222222222222,63.84530307002259,0.0,0.0,0.0,38.889885127794,0.0,20.0,31.33333333333333,64.44774579927075,0.0,10.72
atp_102029,Filip Dewulf,tennis,Modern Era,0.0,0,97,222,0.0,0,0,2,2,4,18,0.3676,0.5051,0.25,0.2678,0.249,0.4369369369369369,1.0,0.2222222222222222,66.85101917996879,0.0,0.0,0.0,27.287601311082067,0.0,100.0,31.33333333333333,67.48182377343484,0.0,15.34
atp_102035,Jonas Bjorkman,tennis,Modern Era,0.0,0,416,778,0.0,0,2,7,12,22,101,0.5356,0.36,0.6508,0.2166,0.2075,0.5347043701799485,0.5833333333333334,0.21782178217821782,61.97979344262296,0.0,0.0,0.0,45.2747629461351,0.0,58.333333333333336,30.712871287128714,62.56463326833198,10.0,14.3
atp_102104,Christian Ruud,tennis,Modern Era,0.0,0,124,270,0.0,0,0,0,1,4,22,0.3718,0.5227,0.0,0.2254,0.0,0.45925925925925926,0.0,0.18181818181818182,30.155912459864354,0.0,0.0,0.0,31.394441455727723,0.0,0.0,25.636363636363633,30.440462917481643,0.0,6.25
atp_102106,Davide Sanguinetti,tennis,Modern Era,0.0,0,170,414,0.0,0,0,2,6,4,32,0.4396,0.3681,0.4255,0.1792,0.2548,0.4106280193236715,0.3333333333333333,0.125,90.16735871644867,0.0,0.0,0.0,22.447311064565596,0.0,33.33333333333333,17.625,91.01817572352998,0.0,10.92
atp_102110,Daniel Nestor,tennis,Modern Era,0.0,0,86,205,0.0,0,0,0,0,4,16,0.4355,0.2,0.4186,0.2268,0.203,0.4195121951219512,0.0,0.25,65.89555466535502,0.0,0.0,0.0,24.081813482980127,0.0,0.0,35.25,66.51734351886518,0.0,8.16
atp_102146,Jordi Burillo,tennis,Modern Era,0.0,0,92,222,0.0,0,0,1,3,3,12,0.2778,0.4698,0.5,0.1868,0.1347,0.4144144144144144,0.3333333333333333,0.25,68.71004263145389,0.0,0.0,0.0,23.143928519399235,0.0,33.33333333333333,35.25,69.35838892506067,0.0,10.57
